English	Spanish	French	Portugues
Main Menu	Menú Principal	Menu principal	Menu principal
See the proyect on Github	Ver el proyecto en Github	Voir le projet sur Github	Veja o projeto no Github
Start Game	Empezar Juego	Démarrer jeu	Começar o jogo
Close	Cerrar	Fermer	Fechar
Generation:	Generación:	Génération:	Geração:
Starter	Inicial	Entrée	Iniciante
Baby	Bebe	Bébé	Bebê
Legendary	Legendario	Légendaire	Lendário
Mythical	Mítico	Mythique	Mítico
Japanase Name:	Nombre Japonés:	Nom japonais:	Nome Japonês:
Capture Rate:	Ratio de Captura:	Taux de capture:	Taxa de captura:
Types:	Tipos:	Les types:	Tipos:
Abilities:	Habilidades:	Capacités:	Habilidades:
Description:	Descripción:	Description:	Descrição:
Attempts Remaining:	Intentos Restantes:	Tentatives restantes:	Tentativas restantes:
Make Your Guess:	Ingresar Pokemon:	Faites votre supposition:	Faça seu palpite:
Return	Regresar	Retour	Retornar
The pokemon wasn't found$$$Maybe you mean:	El pokemón no se encontró$$$Tal vez te refieres a:	Le Pokémon n'a pas été trouvé$$$Vous voulez peut-être dire:	O Pokémon não foi encontrado$$$Talvez você queira dizer:
Not found	No encontrado	Pas trouvé	Não encontrado
The pokemon wanted is not that one	El pokemón buscado no es ese	Le pokémon recherché n'est pas celui-là	O pokémon procurado não é esse
Fail	Fallo	Échouer	Falhar
"Congratulations, you won the game!$$$Score: "	¡Felicitaciones!, ganaste el juego$$$Puntuación:	Félicitations, vous avez gagné le jeu !$$$Score:	Parabéns, você ganhou o jogo!$$$Pontuação:
Winner	Ganador	Gagnant	Ganhador
Don't have more attempts,$$$you lost the game	No te quedan más intentos$$$Perdiste el juego	N'essayez plus,$$$vous avez perdu la partie	Não tenha mais tentativas,$$$você perdeu o jogo
Sorry	Lo siento	Désolé	Desculpe
Close	Cerrar	Fermer	Fechar
Yes	Si	Oui	Sim
No	No	Non	Não
Ok	Está bien	D'accord	OK
Select	Seleccionar	Sélectionner	Selecione
Guesser Game	Guesser Game	Jeu de devinettes	Jogo de adivinhação
Accept	Aceptar	Accepter	Aceitar
Cancel	Cancelar	Annuler	Cancelar
Theme	Tema	Problème	Emitir
Dark	Oscuro	Sombre	Escuro
Light	Claro	Lumière	Luz
Language	Idioma	Langage	Linguagem
Play Again	Jugar de Nuevo	Rejouer	Jogar de Novo
Credits	Créditos	Crédits	Créditos
